시도,행정구역,산업대,2019 년,2020 년
서울특별시,동작구,F.건설업,415,290
서울특별시,동작구,G.도소매업,1949,1766
서울특별시,동작구,H.운수창고,104,76
서울특별시,동작구,I.숙박음식,2381,1722
서울특별시,동작구,J.정보통신,177,175
서울특별시,동작구,K.금융보험,168,169
서울특별시,동작구,L.부동산업,544,491
서울특별시,동작구,M.전문기술,340,336
서울특별시,동작구,N.사업시설,209,169
서울특별시,동작구,P.교육,712,626
서울특별시,동작구,Q.보건복지,979,988
서울특별시,동작구,R.예술스포츠,377,263
서울특별시,동작구,S.협회단체,825,671
서울특별시,관악구,전체,11913,9711
서울특별시,관악구,A.농림어업,0,1
서울특별시,관악구,B.광업,0,0
서울특별시,관악구,C.제조업,632,580
서울특별시,관악구,D.전기가스,1,0
서울특별시,관악구,E.수도하수,8,8
서울특별시,관악구,F.건설업,510,390
서울특별시,관악구,G.도소매업,2351,2046
서울특별시,관악구,H.운수창고,108,80
서울특별시,관악구,I.숙박음식,3104,2133
서울특별시,관악구,J.정보통신,201,214
서울특별시,관악구,K.금융보험,151,138
서울특별시,관악구,L.부동산업,682,510
서울특별시,관악구,M.전문기술,503,501
서울특별시,관악구,N.사업시설,272,219
서울특별시,관악구,P.교육,687,567
서울특별시,관악구,Q.보건복지,1134,1111
서울특별시,관악구,R.예술스포츠,478,323
서울특별시,관악구,S.협회단체,1091,890
서울특별시,서초구,전체,32710,31092
서울특별시,서초구,A.농림어업,3,5
서울특별시,서초구,B.광업,4,2
서울특별시,서초구,C.제조업,730,613
서울특별시,서초구,D.전기가스,18,16
서울특별시,서초구,E.수도하수,15,19
서울특별시,서초구,F.건설업,1378,1275
서울특별시,서초구,G.도소매업,7646,7376
서울특별시,서초구,H.운수창고,481,445
서울특별시,서초구,I.숙박음식,4845,3946
서울특별시,서초구,J.정보통신,1935,1998
서울특별시,서초구,K.금융보험,903,870
서울특별시,서초구,L.부동산업,2263,2315
서울특별시,서초구,M.전문기술,5784,6118
서울특별시,서초구,N.사업시설,1093,1013
서울특별시,서초구,P.교육,1634,1497
서울특별시,서초구,Q.보건복지,1535,1518
서울특별시,서초구,R.예술스포츠,739,574
서울특별시,서초구,S.협회단체,1704,1492
