기준년월,시도,행정구역,신규구인인원,신규구직건수,취업건수,구인배율,월
19.12월,전라남도,담양군,174,175,29,0.994285714,12월
19.12월,전라남도,곡성군,73,135,22,0.540740741,12월
19.12월,전라남도,구례군,58,108,23,0.537037037,12월
19.12월,전라남도,고흥군,455,230,54,1.97826087,12월
19.12월,전라남도,보성군,74,133,20,0.556390977,12월
19.12월,전라남도,화순군,284,585,90,0.485470085,12월
19.12월,전라남도,장흥군,41,135,22,0.303703704,12월
19.12월,전라남도,강진군,277,173,21,1.601156069,12월
19.12월,전라남도,해남군,297,233,31,1.274678112,12월
19.12월,전라남도,영암군,932,226,59,4.123893805,12월
19.12월,전라남도,무안군,713,349,89,2.042979943,12월
19.12월,전라남도,함평군,126,131,21,0.961832061,12월
19.12월,전라남도,영광군,286,170,26,1.682352941,12월
19.12월,전라남도,장성군,325,175,52,1.857142857,12월
19.12월,전라남도,완도군,243,135,43,1.8,12월
19.12월,전라남도,진도군,253,126,12,2.007936508,12월
19.12월,전라남도,신안군,135,91,9,1.483516484,12월
19.12월,경상북도,경주시,916,1650,342,0.555151515,12월
19.12월,경상북도,김천시,452,960,215,0.470833333,12월
19.12월,경상북도,안동시,803,813,610,0.987699877,12월
19.12월,경상북도,구미시,1201,3264,785,0.367953431,12월
19.12월,경상북도,영주시,420,434,296,0.967741935,12월
19.12월,경상북도,영천시,509,597,105,0.852596315,12월
19.12월,경상북도,상주시,147,370,78,0.397297297,12월
19.12월,경상북도,문경시,207,283,88,0.731448763,12월
19.12월,경상북도,경산시,815,1850,437,0.440540541,12월
19.12월,경상북도,군위군,61,71,6,0.85915493,12월
19.12월,경상북도,의성군,132,222,20,0.594594595,12월
19.12월,경상북도,청송군,56,75,23,0.746666667,12월
19.12월,경상북도,영양군,27,119,9,0.226890756,12월
19.12월,경상북도,영덕군,77,168,53,0.458333333,12월
19.12월,경상북도,청도군,79,192,37,0.411458333,12월
19.12월,경상북도,고령군,239,134,39,1.78358209,12월
19.12월,경상북도,성주군,289,154,24,1.876623377,12월
19.12월,경상북도,칠곡군,645,883,235,0.730464326,12월
19.12월,경상북도,예천군,88,199,77,0.442211055,12월
19.12월,경상북도,봉화군,70,183,37,0.382513661,12월
19.12월,경상북도,울진군,121,246,22,0.491869919,12월
19.12월,경상북도,울릉군,6,70,1,0.085714286,12월
19.12월,경상남도,진주시,1367,2180,1050,0.62706422,12월
19.12월,경상남도,통영시,370,783,225,0.472541507,12월
19.12월,경상남도,사천시,349,468,118,0.745726496,12월
19.12월,경상남도,김해시,2374,4412,1165,0.538077969,12월
19.12월,경상남도,밀양시,462,440,113,1.05,12월
19.12월,경상남도,거제시,1118,1746,495,0.640320733,12월
19.12월,경상남도,양산시,1437,3198,1137,0.44934334,12월
19.12월,경상남도,의령군,147,157,24,0.936305732,12월
19.12월,경상남도,함안군,710,371,140,1.913746631,12월
19.12월,경상남도,창녕군,401,413,75,0.97094431,12월
19.12월,경상남도,고성군,369,200,82,1.845,12월
19.12월,경상남도,남해군,88,137,29,0.642335766,12월
19.12월,경상남도,하동군,97,424,51,0.228773585,12월
19.12월,경상남도,산청군,126,166,27,0.759036145,12월
19.12월,경상남도,함양군,188,368,32,0.510869565,12월
19.12월,경상남도,거창군,389,594,85,0.654882155,12월
19.12월,경상남도,합천군,124,335,23,0.370149254,12월
19.12월,제주특별자치도,제주시,1611,1790,1103,0.9,12월
19.12월,제주특별자치도,서귀포시,683,877,602,0.778791334,12월
19.12월,경기도,수원시,2567,7552,2605,0.339909958,12월
19.12월,경기도,성남시,2809,4926,1448,0.570239545,12월
19.12월,경기도,안양시,1893,3735,1063,0.506827309,12월
19.12월,경기도,부천시,1978,5714,1562,0.346167308,12월
19.12월,경기도,안산시,2851,5176,1770,0.550811437,12월
19.12월,경기도,고양시,2332,6646,1696,0.350887752,12월
19.12월,경기도,용인시,2410,5179,1359,0.465340799,12월
19.12월,충청북도,청주시,2112,4535,1605,0.465711136,12월
19.12월,충청남도,천안시,2772,3832,1857,0.723382046,12월
19.12월,전라북도,전주시,1912,4526,1569,0.422448078,12월
19.12월,경상북도,포항시,1725,3794,1199,0.454665261,12월
19.12월,경상남도,창원시,2632,7737,2259,0.340183534,12월
19.12월,전국,전체,173033,326524,102486,0.529924293,12월
19.12월,서울특별시,전체,22782,50668,15450,0.449632904,12월
19.12월,부산광역시,전체,11279,27421,8321,0.411327085,12월
19.12월,대구광역시,전체,5308,15270,4033,0.347609692,12월
19.12월,인천광역시,전체,8589,21451,6291,0.400400914,12월
19.12월,광주광역시,전체,3987,8430,3140,0.472953737,12월
19.12월,대전광역시,전체,1931,8113,2090,0.238013065,12월
19.12월,울산광역시,전체,3507,9815,2412,0.357310239,12월
19.12월,경기도,전체,50468,86695,26493,0.582132764,12월
19.12월,강원도,전체,5925,11075,3831,0.534988713,12월
19.12월,충청북도,전체,7846,9201,3962,0.852733399,12월
19.12월,충청남도,전체,8654,11361,4000,0.761728721,12월
19.12월,전라북도,전체,8061,12396,4309,0.650290416,12월
19.12월,전라남도,전체,9735,9354,4065,1.040731238,12월
19.12월,경상북도,전체,9085,16731,4738,0.543004005,12월
19.12월,경상남도,전체,12748,24129,7130,0.52832691,12월
19.12월,제주특별자치도,전체,2294,2667,1705,0.860142482,12월
20.1월,서울특별시,종로구,691,821,317,0.841656516,20.1월
20.1월,서울특별시,중구,891,691,211,1.289435601,20.1월
20.1월,서울특별시,용산구,911,1370,317,0.664963504,20.1월
20.1월,서울특별시,성동구,679,1866,418,0.363879957,20.1월
20.1월,서울특별시,광진구,542,2643,630,0.205069996,20.1월
20.1월,서울특별시,동대문구,280,2224,621,0.125899281,20.1월
20.1월,서울특별시,중랑구,336,3350,779,0.100298507,20.1월
20.1월,서울특별시,성북구,620,2947,898,0.210383441,20.1월
