기준년,시도,행정구역,직종_중분류,신규구인인원,신규구직건수,취업건수,구인배율
21년,서울특별시,중구,인문·사회과학 연구직,17,16,3,1.0625
21년,서울특별시,중구,자연·생명과학 연구직,10,19,9,0.5263157894736842
21년,서울특별시,중구,정보통신 연구개발직 및 공학기술직,369,325,106,1.1353846153846154
21년,서울특별시,중구,건설·채굴 연구개발직 및 공학기술직,119,82,31,1.451219512195122
21년,서울특별시,중구,제조 연구개발직 및 공학기술직,230,192,64,1.1979166666666667
21년,서울특별시,중구,교육직,72,203,42,0.35467980295566504
21년,서울특별시,중구,법률직,15,32,9,0.46875
21년,서울특별시,중구,사회복지·종교직,608,314,108,1.9363057324840764
21년,서울특별시,중구,경찰·소방·교도직,0,8,1,0.0
21년,서울특별시,중구,군인,0,4,1,0.0
21년,서울특별시,중구,보건·의료직,238,277,134,0.8592057761732852
21년,서울특별시,중구,예술·디자인·방송직,483,907,228,0.5325248070562293
21년,서울특별시,중구,스포츠·레크리에이션직,26,55,13,0.4727272727272727
21년,서울특별시,중구,미용·예식 서비스직,43,136,31,0.3161764705882353
21년,서울특별시,중구,여행·숙박·오락 서비스직,35,112,29,0.3125
21년,서울특별시,중구,음식 서비스직,1386,709,171,1.9548660084626235
21년,서울특별시,중구,경호·경비직,469,308,110,1.5227272727272727
21년,서울특별시,중구,돌봄 서비스직(간병·육아),467,380,134,1.2289473684210526
21년,서울특별시,중구,청소 및 기타 개인서비스직,1014,603,227,1.681592039800995
21년,서울특별시,중구,영업·판매직,1154,534,124,2.161048689138577
21년,서울특별시,중구,운전·운송직,388,200,59,1.94
21년,서울특별시,중구,건설·채굴직,574,251,67,2.2868525896414345
21년,서울특별시,중구,기계 설치·정비·생산직,665,96,28,6.927083333333333
21년,서울특별시,중구,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),89,31,7,2.870967741935484
21년,서울특별시,중구,전기·전자 설치·정비·생산직,393,152,51,2.585526315789474
21년,서울특별시,중구,정보통신 설치·정비직,22,32,5,0.6875
21년,서울특별시,중구,화학·환경 설치·정비·생산직,60,10,1,6.0
21년,서울특별시,중구,섬유·의복 생산직,29,96,17,0.3020833333333333
21년,서울특별시,중구,식품가공·생산직,48,85,26,0.5647058823529412
21년,서울특별시,중구,인쇄·목재·공예 및 기타 설치·정비·생산직,162,58,18,2.793103448275862
21년,서울특별시,중구,제조 단순직,408,68,25,6.0
21년,서울특별시,중구,농림어업직,8,55,13,0.14545454545454545
21년,서울특별시,용산구,관리직(임원·부서장),105,547,135,0.19195612431444242
21년,서울특별시,용산구,경영·행정·사무직,1543,3574,1074,0.431729155008394
