행정코드,시도,행정구역,연월,value
43112,충청북도,서원구,'17.12월,216782
43113,충청북도,흥덕구,'17.12월,253912
43114,충청북도,청원구,'17.12월,193767
43130,충청북도,충주시,'17.12월,208316
43150,충청북도,제천시,'17.12월,136432
43720,충청북도,보은군,'17.12월,34053
43730,충청북도,옥천군,'17.12월,51766
43740,충청북도,영동군,'17.12월,50240
43745,충청북도,증평군,'17.12월,37783
43750,충청북도,진천군,'17.12월,73677
43760,충청북도,괴산군,'17.12월,39054
43770,충청북도,음성군,'17.12월,97306
43800,충청북도,단양군,'17.12월,30215
44,충청남도,전체,'17.12월,2116770
44130,충청남도,천안시,'17.12월,631531
44131,충청남도,동남구,'17.12월,255878
44133,충청남도,서북구,'17.12월,375653
44150,충청남도,공주시,'17.12월,108432
44180,충청남도,보령시,'17.12월,103198
44200,충청남도,아산시,'17.12월,311453
44210,충청남도,서산시,'17.12월,171678
44230,충청남도,논산시,'17.12월,122240
44250,충청남도,계룡시,'17.12월,43967
44270,충청남도,당진시,'17.12월,167439
44710,충청남도,금산군,'17.12월,53894
44760,충청남도,부여군,'17.12월,69086
44770,충청남도,서천군,'17.12월,55175
44790,충청남도,청양군,'17.12월,32837
44800,충청남도,홍성군,'17.12월,101570
44810,충청남도,예산군,'17.12월,80338
44825,충청남도,태안군,'17.12월,63932
45,전라북도,전체,'17.12월,1854607
45110,전라북도,전주시,'17.12월,648964
45111,전라북도,완산구,'17.12월,359012
45113,전라북도,덕진구,'17.12월,289952
45130,전라북도,군산시,'17.12월,274997
45140,전라북도,익산시,'17.12월,300187
45180,전라북도,정읍시,'17.12월,113776
45190,전라북도,남원시,'17.12월,83281
45210,전라북도,김제시,'17.12월,86926
45710,전라북도,완주군,'17.12월,95975
45720,전라북도,진안군,'17.12월,26271
45730,전라북도,무주군,'17.12월,24809
45740,전라북도,장수군,'17.12월,23003
45750,전라북도,임실군,'17.12월,30162
45770,전라북도,순창군,'17.12월,29698
45790,전라북도,고창군,'17.12월,60472
45800,전라북도,부안군,'17.12월,56086
46,전라남도,전체,'17.12월,1896424
46110,전라남도,목포시,'17.12월,234379
46130,전라남도,여수시,'17.12월,286382
46150,전라남도,순천시,'17.12월,279331
46170,전라남도,나주시,'17.12월,110110
46230,전라남도,광양시,'17.12월,155857
46710,전라남도,담양군,'17.12월,47285
46720,전라남도,곡성군,'17.12월,30131
46730,전라남도,구례군,'17.12월,27525
46770,전라남도,고흥군,'17.12월,66736
46780,전라남도,보성군,'17.12월,43755
46790,전라남도,화순군,'17.12월,64680
46800,전라남도,장흥군,'17.12월,40136
46810,전라남도,강진군,'17.12월,36868
46820,전라남도,해남군,'17.12월,73604
46830,전라남도,영암군,'17.12월,55616
46840,전라남도,무안군,'17.12월,82872
46860,전라남도,함평군,'17.12월,34328
46870,전라남도,영광군,'17.12월,54774
46880,전라남도,장성군,'17.12월,46111
46890,전라남도,완도군,'17.12월,52109
46900,전라남도,진도군,'17.12월,31765
46910,전라남도,신안군,'17.12월,42070
47,경상북도,전체,'17.12월,2691706
47110,경상북도,포항시,'17.12월,513832
47111,경상북도,남구,'17.12월,242469
47113,경상북도,북구,'17.12월,271363
47130,경상북도,경주시,'17.12월,257903
47150,경상북도,김천시,'17.12월,142908
47170,경상북도,안동시,'17.12월,166272
47190,경상북도,구미시,'17.12월,421799
47210,경상북도,영주시,'17.12월,108371
47230,경상북도,영천시,'17.12월,100615
47250,경상북도,상주시,'17.12월,100947
47280,경상북도,문경시,'17.12월,73294
47290,경상북도,경산시,'17.12월,259485
47720,경상북도,군위군,'17.12월,24215
47730,경상북도,의성군,'17.12월,53474
47750,경상북도,청송군,'17.12월,26006
47760,경상북도,영양군,'17.12월,17479
47770,경상북도,영덕군,'17.12월,38529
47820,경상북도,청도군,'17.12월,43346
47830,경상북도,고령군,'17.12월,33768
47840,경상북도,성주군,'17.12월,45138
47850,경상북도,칠곡군,'17.12월,120864
47900,경상북도,예천군,'17.12월,49253
47920,경상북도,봉화군,'17.12월,33259
47930,경상북도,울진군,'17.12월,50974
47940,경상북도,울릉군,'17.12월,9975
48,경상남도,전체,'17.12월,3380404
48120,경상남도,창원시,'17.12월,1057032
48121,경상남도,의창구,'17.12월,253349
48123,경상남도,성산구,'17.12월,227942
48125,경상남도,마산합포구,'17.12월,181917
48127,경상남도,마산회원구,'17.12월,203926
48129,경상남도,진해구,'17.12월,189898
48170,경상남도,진주시,'17.12월,346681
48220,경상남도,통영시,'17.12월,135833
48240,경상남도,사천시,'17.12월,114252
48250,경상남도,김해시,'17.12월,532132
48270,경상남도,밀양시,'17.12월,107898
48310,경상남도,거제시,'17.12월,254073
48330,경상남도,양산시,'17.12월,338535
48720,경상남도,의령군,'17.12월,27849
48730,경상남도,함안군,'17.12월,68207
48740,경상남도,창녕군,'17.12월,64101
48820,경상남도,고성군,'17.12월,54060
48840,경상남도,남해군,'17.12월,44642
48850,경상남도,하동군,'17.12월,48831
48860,경상남도,산청군,'17.12월,36340
48870,경상남도,함양군,'17.12월,40175
48880,경상남도,거창군,'17.12월,62763
48890,경상남도,합천군,'17.12월,47000
50,제주특별자치도,전체,'17.12월,657083
50110,제주특별자치도,제주시,'17.12월,478700
50130,제주특별자치도,서귀포시,'17.12월,178383
0,전국,전체,'18.12월,51826059
11,서울특별시,전체,'18.12월,9765623
11110,서울특별시,종로구,'18.12월,153065
11140,서울특별시,중구,'18.12월,125725
11170,서울특별시,용산구,'18.12월,228999
11200,서울특별시,성동구,'18.12월,308221
11215,서울특별시,광진구,'18.12월,355559
11230,서울특별시,동대문구,'18.12월,348052
11260,서울특별시,중랑구,'18.12월,403209
11290,서울특별시,성북구,'18.12월,435868
11305,서울특별시,강북구,'18.12월,319164
11320,서울특별시,도봉구,'18.12월,339413
11350,서울특별시,노원구,'18.12월,543752
11380,서울특별시,은평구,'18.12월,483197
11410,서울특별시,서대문구,'18.12월,310313
11440,서울특별시,마포구,'18.12월,375077
11470,서울특별시,양천구,'18.12월,464185
11500,서울특별시,강서구,'18.12월,596949
11530,서울특별시,구로구,'18.12월,404497
11545,서울특별시,금천구,'18.12월,233917
11560,서울특별시,영등포구,'18.12월,367778
11590,서울특별시,동작구,'18.12월,396203
11620,서울특별시,관악구,'18.12월,501957
11650,서울특별시,서초구,'18.12월,433951
11680,서울특별시,강남구,'18.12월,542364
11710,서울특별시,송파구,'18.12월,666635
11740,서울특별시,강동구,'18.12월,427573
26,부산광역시,전체,'18.12월,3441453
26110,부산광역시,중구,'18.12월,42795
26140,부산광역시,서구,'18.12월,110534
26170,부산광역시,동구,'18.12월,86912
26200,부산광역시,영도구,'18.12월,120109
26230,부산광역시,부산진구,'18.12월,362357
26260,부산광역시,동래구,'18.12월,266515
26290,부산광역시,남구,'18.12월,279917
26320,부산광역시,북구,'18.12월,296952
26350,부산광역시,해운대구,'18.12월,409347
26380,부산광역시,사하구,'18.12월,327791
26410,부산광역시,금정구,'18.12월,242956
26440,부산광역시,강서구,'18.12월,122957
26470,부산광역시,연제구,'18.12월,207840
26500,부산광역시,수영구,'18.12월,176246
26530,부산광역시,사상구,'18.12월,223361
26710,부산광역시,기장군,'18.12월,164864
27,대구광역시,전체,'18.12월,2461769
27110,대구광역시,중구,'18.12월,79401
27140,대구광역시,동구,'18.12월,351291
27170,대구광역시,서구,'18.12월,184372
27200,대구광역시,남구,'18.12월,150501
27230,대구광역시,북구,'18.12월,439489
27260,대구광역시,수성구,'18.12월,432759
27290,대구광역시,달서구,'18.12월,573413
27710,대구광역시,달성군,'18.12월,250543
28,인천광역시,전체,'18.12월,2954642
28110,인천광역시,중구,'18.12월,122499
28140,인천광역시,동구,'18.12월,66233
28177,인천광역시,미추홀구,'18.12월,416542
28185,인천광역시,연수구,'18.12월,346359
28200,인천광역시,남동구,'18.12월,537161
28237,인천광역시,부평구,'18.12월,524640
28245,인천광역시,계양구,'18.12월,312680
28260,인천광역시,서구,'18.12월,538596
28710,인천광역시,강화군,'18.12월,68896
28720,인천광역시,옹진군,'18.12월,21036
29,광주광역시,전체,'18.12월,1459336
29110,광주광역시,동구,'18.12월,94475
29140,광주광역시,서구,'18.12월,304172
29155,광주광역시,남구,'18.12월,216369
29170,광주광역시,북구,'18.12월,439773
29200,광주광역시,광산구,'18.12월,404547
30,대전광역시,전체,'18.12월,1489936
30110,대전광역시,동구,'18.12월,229071
30140,대전광역시,중구,'18.12월,244421
30170,대전광역시,서구,'18.12월,484663
30200,대전광역시,유성구,'18.12월,349790
30230,대전광역시,대덕구,'18.12월,181991
31,울산광역시,전체,'18.12월,1155623
31110,울산광역시,중구,'18.12월,231973
31140,울산광역시,남구,'18.12월,330732
31170,울산광역시,동구,'18.12월,164642
31200,울산광역시,북구,'18.12월,206434
31710,울산광역시,울주군,'18.12월,221842
36,세종특별자치시,전체,'18.12월,314126
